Date,Time,PM2.5 particulate matter (Hourly measured),Status
8/1/2024,20:00:00,6.84,V ugm-3 (Ref.eq)
8/1/2024,21:00:00,6.745,V ugm-3 (Ref.eq)
8/1/2024,22:00:00,6.627,V ugm-3 (Ref.eq)
8/1/2024,23:00:00,6.533,V ugm-3 (Ref.eq)
8/1/2024,24:00:00,6.392,V ugm-3 (Ref.eq)
9/1/2024,1:00:00,5.943,V ugm-3 (Ref.eq)
9/1/2024,2:00:00,5.283,V ugm-3 (Ref.eq)
9/1/2024,3:00:00,5.542,V ugm-3 (Ref.eq)
9/1/2024,4:00:00,5.873,V ugm-3 (Ref.eq)
9/1/2024,5:00:00,5.684,V ugm-3 (Ref.eq)
9/1/2024,6:00:00,6.604,V ugm-3 (Ref.eq)
9/1/2024,7:00:00,6.58,V ugm-3 (Ref.eq)
9/1/2024,8:00:00,6.604,V ugm-3 (Ref.eq)
9/1/2024,9:00:00,6.887,V ugm-3 (Ref.eq)
9/1/2024,10:00:00,7.995,V ugm-3 (Ref.eq)
9/1/2024,11:00:00,8.373,V ugm-3 (Ref.eq)
9/1/2024,12:00:00,8.066,V ugm-3 (Ref.eq)
9/1/2024,13:00:00,7.5,V ugm-3 (Ref.eq)
9/1/2024,14:00:00,7.005,V ugm-3 (Ref.eq)
9/1/2024,15:00:00,7.429,V ugm-3 (Ref.eq)
9/1/2024,16:00:00,7.382,V ugm-3 (Ref.eq)
9/1/2024,17:00:00,7.406,V ugm-3 (Ref.eq)
9/1/2024,18:00:00,8.019,V ugm-3 (Ref.eq)
9/1/2024,19:00:00,7.17,V ugm-3 (Ref.eq)
9/1/2024,20:00:00,5.967,V ugm-3 (Ref.eq)
9/1/2024,21:00:00,6.038,V ugm-3 (Ref.eq)
9/1/2024,22:00:00,5.495,V ugm-3 (Ref.eq)
9/1/2024,23:00:00,4.976,V ugm-3 (Ref.eq)
9/1/2024,24:00:00,4.033,V ugm-3 (Ref.eq)
10/1/2024,1:00:00,3.325,V ugm-3 (Ref.eq)
10/1/2024,2:00:00,2.948,V ugm-3 (Ref.eq)
10/1/2024,3:00:00,3.278,V ugm-3 (Ref.eq)
10/1/2024,4:00:00,2.476,V ugm-3 (Ref.eq)
10/1/2024,5:00:00,2.689,V ugm-3 (Ref.eq)
10/1/2024,6:00:00,2.642,V ugm-3 (Ref.eq)
10/1/2024,7:00:00,3.844,V ugm-3 (Ref.eq)
10/1/2024,8:00:00,5.212,V ugm-3 (Ref.eq)
10/1/2024,9:00:00,5.165,V ugm-3 (Ref.eq)
10/1/2024,10:00:00,7.925,V ugm-3 (Ref.eq)
10/1/2024,11:00:00,5.708,V ugm-3 (Ref.eq)
10/1/2024,12:00:00,5.542,V ugm-3 (Ref.eq)
